session_id,server,version,condition,task,model,claude_md_hash
baseline,baseline,baseline,baseline,,,
baseline,baseline,baseline,baseline,,,
baseline,baseline,baseline,baseline,,,
baseline,baseline,baseline,baseline,,,
baseline,baseline,baseline,baseline,,,
baseline,baseline,baseline,baseline,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
debug-layers,debug-layers,debug-layers,debug-layers,,,
