session_id,seq,ts,tool,duration_ms,is_error,error_type,test_target,debug_layers
explain,0,1774432899579,explain,55,false,,,false
core/str,0,1774432995782,core/str,452,false,,core/str,false
docs/list,1,1774434081907,docs/list,2247,false,,,false
docs/list,2,1774434081926,docs/list,4,false,,,false
docs/list,3,1774434081935,docs/list,5,false,,,false
docs/search,4,1774434082014,docs/search,75,false,,,false
docs/list,5,1774434087811,docs/list,4,false,,,false
docs/search,6,1774434088406,docs/search,30,false,,,false
docs/search,7,1774434097499,docs/search,46,false,,,false
docs/search,8,1774434097964,docs/search,24,false,,,false
scripts/audit_docs.tml,9,1774434210884,scripts/audit_docs.tml,99,false,,scripts/audit_docs.tml,false
docs/search,0,1774434241537,docs/search,2328,false,,,false
docs/search,1,1774434264952,docs/search,89,false,,,false
docs/search,2,1774434272526,docs/search,65,false,,,false
docs/search,3,1774434278745,docs/search,22,false,,,false
docs/search,4,1774434361129,docs/search,35,false,,,false
docs/search,5,1774434486994,docs/search,47,false,,,false
docs/search,6,1774435067032,docs/search,63,false,,,false
docs/search,0,1774438852517,docs/search,2253,false,,,false
project/coverage,0,1774439610360,project/coverage,316923,true,,,false
test,0,1774439643118,test,10034,false,,,false
core/str,1,1774439712357,core/str,60635,false,,core/str,false
docs/search,0,1774559007790,docs/search,2973,false,,,false
docs/search,1,1774559013556,docs/search,155,false,,,false
docs/get,2,1774559018975,docs/get,4,false,,,false
docs/get,3,1774559024869,docs/get,6,false,,,false
docs/search,4,1774559030697,docs/search,32,false,,,false
docs/search,5,1774559039754,docs/search,32,false,,,false
core/result,0,1774571260720,core/result,121879,false,,core/result,false
core/types,0,1774571330373,core/types,22788,false,,core/types,false
core/enum,0,1774571341166,core/enum,210,false,,core/enum,false
core/maybe,1,1774571341424,core/maybe,149,false,,core/maybe,false
core/option,2,1774571375338,core/option,17202,false,,core/option,false
lib/core/tests/option/option_basic.test.tml,0,1774571403161,lib/core/tests/option/option_basic.test.tml,12884,false,,lib/core/tests/option/option_basic.test.tml,false
lib/core/tests/result/result.test.tml,1,1774571421154,lib/core/tests/result/result.test.tml,12819,false,,lib/core/tests/result/result.test.tml,false
lib/core/tests/closure/closure.test.tml,2,1774571434417,lib/core/tests/closure/closure.test.tml,13254,false,,lib/core/tests/closure/closure.test.tml,false
core/str,3,1774571445582,core/str,5669,false,,core/str,false
lib/core/tests/enum,0,1774573700644,lib/core/tests/enum,164,false,,lib/core/tests/enum,false
lib/core/tests/types/types_convert.test.tml,1,1774576142129,lib/core/tests/types/types_convert.test.tml,5058,false,,lib/core/tests/types/types_convert.test.tml,false
lib/std/tests/collections/collections_methods.test.tml,2,1774576155444,lib/std/tests/collections/collections_methods.test.tml,13302,false,,lib/std/tests/collections/collections_methods.test.tml,false
lib/core/tests/default/default.test.tml,3,1774576172401,lib/core/tests/default/default.test.tml,7180,false,,lib/core/tests/default/default.test.tml,false
lib/std/tests/json/json_parse.test.tml,4,1774576172546,lib/std/tests/json/json_parse.test.tml,137,false,,lib/std/tests/json/json_parse.test.tml,false
lib/core/tests/iter/iter.test.tml,5,1774576185072,lib/core/tests/iter/iter.test.tml,12519,false,,lib/core/tests/iter/iter.test.tml,false
lib/core/tests/types/types_convert.test.tml,6,1774576192378,lib/core/tests/types/types_convert.test.tml,1119,false,,lib/core/tests/types/types_convert.test.tml,false
lib/core/tests/num/num_ops.test.tml,7,1774576192526,lib/core/tests/num/num_ops.test.tml,140,false,,lib/core/tests/num/num_ops.test.tml,false
lib/core/tests/array/array.test.tml,8,1774576200595,lib/core/tests/array/array.test.tml,8062,false,,lib/core/tests/array/array.test.tml,false
lib/core/tests/alloc/alloc.test.tml,9,1774576262750,lib/core/tests/alloc/alloc.test.tml,13862,false,,lib/core/tests/alloc/alloc.test.tml,false
lib/core/tests/ptr/ptr.test.tml,10,1774576274078,lib/core/tests/ptr/ptr.test.tml,11316,false,,lib/core/tests/ptr/ptr.test.tml,false
lib/core/tests/str/str.test.tml,11,1774576282489,lib/core/tests/str/str.test.tml,8399,false,,lib/core/tests/str/str.test.tml,false
lib/core/tests/types/types.test.tml,12,1774576301879,lib/core/tests/types/types.test.tml,6751,false,,lib/core/tests/types/types.test.tml,false
lib/core/tests/types/types_ok_or_else.test.tml,13,1774576309525,lib/core/tests/types/types_ok_or_else.test.tml,7633,false,,lib/core/tests/types/types_ok_or_else.test.tml,false
lib/core/tests/num/integer.test.tml,14,1774576320672,lib/core/tests/num/integer.test.tml,11127,false,,lib/core/tests/num/integer.test.tml,false
lib/core/tests/num/checked_test.test.tml,15,1774576328579,lib/core/tests/num/checked_test.test.tml,7899,false,,lib/core/tests/num/checked_test.test.tml,false
lib/core/tests/types/types_convert.test.tml,16,1774576336514,lib/core/tests/types/types_convert.test.tml,1394,false,,lib/core/tests/types/types_convert.test.tml,false
lib/std/tests/zlib/zlib_basic.test.tml,17,1774576336781,lib/std/tests/zlib/zlib_basic.test.tml,259,false,,lib/std/tests/zlib/zlib_basic.test.tml,false
lib/std/tests/crypto/crypto.test.tml,18,1774576337036,lib/std/tests/crypto/crypto.test.tml,243,false,,lib/std/tests/crypto/crypto.test.tml,false
lib/core/tests/types/types_encoding.test.tml,19,1774576342508,lib/core/tests/types/types_encoding.test.tml,1639,false,,lib/core/tests/types/types_encoding.test.tml,false
lib/core/tests/types/array_small_types.test.tml,20,1774576351385,lib/core/tests/types/array_small_types.test.tml,8871,false,,lib/core/tests/types/array_small_types.test.tml,false
compiler/tests/codegen/codegen_basic.test.tml,21,1774576351633,compiler/tests/codegen/codegen_basic.test.tml,234,false,,compiler/tests/codegen/codegen_basic.test.tml,false
compiler/tests/compiler/basics/basics.test.tml,22,1774576384410,compiler/tests/compiler/basics/basics.test.tml,8691,false,,compiler/tests/compiler/basics/basics.test.tml,false
compiler/tests/compiler/basics/control_flow.test.tml,23,1774576393760,compiler/tests/compiler/basics/control_flow.test.tml,9311,false,,compiler/tests/compiler/basics/control_flow.test.tml,false
compiler/tests/compiler/basics/expressions.test.tml,24,1774576404827,compiler/tests/compiler/basics/expressions.test.tml,11049,false,,compiler/tests/compiler/basics/expressions.test.tml,false
compiler/tests/compiler/basics/features.test.tml,25,1774576413513,compiler/tests/compiler/basics/features.test.tml,8660,false,,compiler/tests/compiler/basics/features.test.tml,false
lib/core/tests/types/types_ok_or_else.test.tml,26,1774576432162,lib/core/tests/types/types_ok_or_else.test.tml,8998,false,,lib/core/tests/types/types_ok_or_else.test.tml,false
lib/core/tests/str/str.test.tml,0,1774576869123,lib/core/tests/str/str.test.tml,7946,false,,lib/core/tests/str/str.test.tml,false
lib/core/tests/cmp/cmp.test.tml,1,1774576874813,lib/core/tests/cmp/cmp.test.tml,5680,false,,lib/core/tests/cmp/cmp.test.tml,false
lib/core/tests/default/default.test.tml,2,1774576883206,lib/core/tests/default/default.test.tml,4044,false,,lib/core/tests/default/default.test.tml,false
lib/core/tests/iter/iter.test.tml,3,1774576892787,lib/core/tests/iter/iter.test.tml,9573,false,,lib/core/tests/iter/iter.test.tml,false
lib/core/tests/alloc/alloc.test.tml,4,1774576902733,lib/core/tests/alloc/alloc.test.tml,9937,false,,lib/core/tests/alloc/alloc.test.tml,false
lib/core/tests/result/result.test.tml,5,1774576911160,lib/core/tests/result/result.test.tml,8419,false,,lib/core/tests/result/result.test.tml,false
lib/core/tests/types/types_convert.test.tml,0,1774587766516,lib/core/tests/types/types_convert.test.tml,12242,false,,lib/core/tests/types/types_convert.test.tml,false
lib/core/tests/types/types_encoding.test.tml,1,1774587767946,lib/core/tests/types/types_encoding.test.tml,1409,false,,lib/core/tests/types/types_encoding.test.tml,false
lib/core/tests/str/str.test.tml,2,1774587775008,lib/core/tests/str/str.test.tml,7048,false,,lib/core/tests/str/str.test.tml,false
lib/core/tests/cmp/cmp.test.tml,3,1774587781482,lib/core/tests/cmp/cmp.test.tml,6463,false,,lib/core/tests/cmp/cmp.test.tml,false
lib/core/tests/alloc/alloc.test.tml,4,1774587797278,lib/core/tests/alloc/alloc.test.tml,10793,false,,lib/core/tests/alloc/alloc.test.tml,false
lib/core/tests/iter/iter.test.tml,5,1774587808458,lib/core/tests/iter/iter.test.tml,11169,false,,lib/core/tests/iter/iter.test.tml,false
lib/core/tests/result/result.test.tml,6,1774587817211,lib/core/tests/result/result.test.tml,8743,false,,lib/core/tests/result/result.test.tml,false
lib/core/tests/default/default.test.tml,7,1774587821570,lib/core/tests/default/default.test.tml,4348,false,,lib/core/tests/default/default.test.tml,false
core/reflect,0,1774591111223,core/reflect,20571,false,,core/reflect,false
compiler/reflect,1,1774591115747,compiler/reflect,117,false,,compiler/reflect,false
compiler/tests/compiler/reflect/field_name.test.tml,2,1774591128179,compiler/tests/compiler/reflect/field_name.test.tml,4013,false,,compiler/tests/compiler/reflect/field_name.test.tml,false
compiler/tests/compiler/reflect/field_metadata.test.tml,3,1774591132291,compiler/tests/compiler/reflect/field_metadata.test.tml,4103,false,,compiler/tests/compiler/reflect/field_metadata.test.tml,false
compiler/tests/compiler/reflect/field_count.test.tml,4,1774591136199,compiler/tests/compiler/reflect/field_count.test.tml,3901,false,,compiler/tests/compiler/reflect/field_count.test.tml,false
compiler/tests/compiler/reflect/class_reflection.test.tml,5,1774591167698,compiler/tests/compiler/reflect/class_reflection.test.tml,4083,false,,compiler/tests/compiler/reflect/class_reflection.test.tml,false
compiler/tests/compiler/reflect/interface_reflection.test.tml,6,1774591171525,compiler/tests/compiler/reflect/interface_reflection.test.tml,3810,false,,compiler/tests/compiler/reflect/interface_reflection.test.tml,false
compiler/tests/compiler/reflect/class_reflection.test.tml,7,1774591196367,compiler/tests/compiler/reflect/class_reflection.test.tml,640,false,,compiler/tests/compiler/reflect/class_reflection.test.tml,false
compiler/tests/compiler/reflect/class_reflection.test.tml,8,1774591200400,compiler/tests/compiler/reflect/class_reflection.test.tml,625,true,,compiler/tests/compiler/reflect/class_reflection.test.tml,true
compiler/tests/compiler/reflect/class_reflection.test.tml,9,1774591216109,compiler/tests/compiler/reflect/class_reflection.test.tml,4186,false,,compiler/tests/compiler/reflect/class_reflection.test.tml,false
run,0,1774591245465,run,415,true,,,false
run,1,1774591299715,run,398,true,,,false
run,2,1774591323416,run,408,true,,,false
run,3,1774591355958,run,413,true,,,false
run,4,1774591371830,run,7988,false,,,false
run,5,1774591387317,run,7057,true,,,false
run,6,1774591412833,run,8062,true,,,false
run,0,1774591489318,run,8024,false,,,false
compiler/tests/compiler/reflect/dynamic_dispatch.test.tml,1,1774591535639,compiler/tests/compiler/reflect/dynamic_dispatch.test.tml,4143,false,,compiler/tests/compiler/reflect/dynamic_dispatch.test.tml,false
run,2,1774591572169,run,405,true,,,false
run,3,1774591592815,run,7478,true,,,false
run,4,1774591616740,run,8108,false,,,false
run,5,1774591629450,run,8251,false,,,false
run,0,1774591735794,run,543,true,,,false
run,0,1774591787695,run,8033,false,,,false
run,1,1774591823037,run,8363,false,,,false
run,2,1774591851808,run,8133,false,,,false
compiler/tests/compiler/reflect/impl_reflection.test.tml,3,1774591870567,compiler/tests/compiler/reflect/impl_reflection.test.tml,4424,false,,compiler/tests/compiler/reflect/impl_reflection.test.tml,false
core/reflect,4,1774591912964,core/reflect,19278,false,,core/reflect,false
compiler/tests/compiler/reflect/field_count.test.tml,5,1774591920917,compiler/tests/compiler/reflect/field_count.test.tml,3998,false,,compiler/tests/compiler/reflect/field_count.test.tml,false
compiler/tests/compiler/reflect/variant_count.test.tml,6,1774591925059,compiler/tests/compiler/reflect/variant_count.test.tml,4137,false,,compiler/tests/compiler/reflect/variant_count.test.tml,false
compiler/tests/compiler/reflect/field_name.test.tml,7,1774591928888,compiler/tests/compiler/reflect/field_name.test.tml,3816,false,,compiler/tests/compiler/reflect/field_name.test.tml,false
compiler/tests/compiler/reflect/field_metadata.test.tml,8,1774591932879,compiler/tests/compiler/reflect/field_metadata.test.tml,3983,false,,compiler/tests/compiler/reflect/field_metadata.test.tml,false
compiler/tests/compiler/reflect/derive_reflect.test.tml,9,1774591939388,compiler/tests/compiler/reflect/derive_reflect.test.tml,6500,false,,compiler/tests/compiler/reflect/derive_reflect.test.tml,false
compiler/tests/compiler/reflect/class_reflection.test.tml,10,1774591943287,compiler/tests/compiler/reflect/class_reflection.test.tml,3890,false,,compiler/tests/compiler/reflect/class_reflection.test.tml,false
compiler/tests/compiler/reflect/interface_reflection.test.tml,11,1774591946889,compiler/tests/compiler/reflect/interface_reflection.test.tml,3596,false,,compiler/tests/compiler/reflect/interface_reflection.test.tml,false
compiler/tests/compiler/reflect/dynamic_dispatch.test.tml,12,1774591950768,compiler/tests/compiler/reflect/dynamic_dispatch.test.tml,3871,false,,compiler/tests/compiler/reflect/dynamic_dispatch.test.tml,false
compiler/tests/compiler/reflect/impl_reflection.test.tml,13,1774591951696,compiler/tests/compiler/reflect/impl_reflection.test.tml,922,false,,compiler/tests/compiler/reflect/impl_reflection.test.tml,false
test,14,1774605984045,test,14030648,false,,,false
docs/search,0,1774608948917,docs/search,3249,false,,,false
docs/search,1,1774608952493,docs/search,173,false,,,false
docs/search,2,1774608955916,docs/search,48,false,,,false
docs/search,3,1774609133396,docs/search,98,false,,,false
docs/search,4,1774657072683,docs/search,27,false,,,false
docs/search,5,1774657076473,docs/search,136,false,,,false
docs/search,0,1774659011649,docs/search,2863,false,,,false
docs/search,1,1774659015708,docs/search,98,false,,,false
docs/search,2,1774659086544,docs/search,169,false,,,false
docs/get,3,1774659093723,docs/get,4,false,,,false
docs/list,4,1774659100787,docs/list,3,false,,,false
run,0,1774660686738,run,10048,false,,,false
run,1,1774660760311,run,526,false,,,false
run,2,1774660778866,run,7680,false,,,false
run,3,1774660796772,run,7991,false,,,false
run,4,1774660815650,run,6823,false,,,false
run,0,1774661264893,run,6129,false,,,false
run,0,1774661381581,run,6513,false,,,false
run,0,1774661630987,run,7575,false,,,false
core/str,0,1774663651545,core/str,77734,false,,core/str,false
std/collections,1,1774664001254,std/collections,346191,false,,std/collections,false
core/fmt,2,1774664196816,core/fmt,173473,false,,core/fmt,false
core/iter,3,1774664565794,core/iter,259689,false,,core/iter,false
std/json,4,1774664699663,std/json,99245,false,,std/json,false
compiler/compiler,5,1774665350043,compiler/compiler,625416,false,,compiler/compiler,false
core/str,0,1774665448848,core/str,82973,false,,core/str,false
compiler/compiler,1,1774665646493,compiler/compiler,193440,false,,compiler/compiler,false
core/str,0,1774665744964,core/str,82248,false,,core/str,false
compiler/compiler,1,1774666395572,compiler/compiler,646418,false,,compiler/compiler,false
core/fmt,2,1774666557772,core/fmt,157292,false,,core/fmt,false
std/json,3,1774666672979,std/json,99599,false,,std/json,false
core/str,4,1774667467688,core/str,5846,false,,core/str,false
core/fmt,5,1774667502634,core/fmt,34938,false,,core/fmt,false
core/iter,6,1774667833513,core/iter,330868,false,,core/iter,false
core/iter,7,1774667847002,core/iter,13488,false,,core/iter,false
core/alloc,8,1774668015777,core/alloc,164597,false,,core/alloc,false
core/iter,0,1774668420585,core/iter,306844,false,,core/iter,false
core/str,1,1774668528507,core/str,103375,false,,core/str,false
core/fmt,2,1774668732927,core/fmt,198258,false,,core/fmt,false
std/json,3,1774668858705,std/json,125757,false,,std/json,false
core/option,4,1774668977160,core/option,115186,false,,core/option,false
core/result,5,1774669062109,core/result,84928,false,,core/result,false
core/iter,6,1774669079275,core/iter,11043,false,,core/iter,false
core/slice,7,1774669279410,core/slice,200129,false,,core/slice,false
core/num,8,1774669530871,core/num,245145,false,,core/num,false
core/hash,9,1774669595005,core/hash,64113,false,,core/hash,false
core/alloc,10,1774669760366,core/alloc,165353,false,,core/alloc,false
std/collections,11,1774670236313,std/collections,388229,false,,std/collections,false
core/drop,12,1774670289123,core/drop,52782,false,,core/drop,false
core/mem,13,1774670328437,core/mem,39299,false,,core/mem,false
std/text,0,1774670361158,std/text,23368,false,,std/text,false
std/regex,0,1774670389716,std/regex,3897,false,,std/regex,false
check,0,1774670403904,check,1889,false,,,false
core/sync,0,1774670408879,core/sync,5739,false,,core/sync,false
check,0,1774670412850,check,4081,true,,,false
emit-ir,0,1774670419602,emit-ir,750,false,,,false
core/clone,1,1774670426083,core/clone,17188,false,,core/clone,false
core/ops,2,1774670504390,core/ops,78297,false,,core/ops,false
core/array,0,1774670523247,core/array,5788,false,,core/array,false
check,0,1774670547900,check,427,false,,,false
check,0,1774670596060,check,419,false,,,false
std/math,0,1774670619149,std/math,67740,false,,std/math,false
compile,0,1774670619722,compile,937,true,,,false
std/url,1,1774670661320,std/url,42162,false,,std/url,false
std/uuid,2,1774670695275,std/uuid,33937,false,,std/uuid,false
check,0,1774670707238,check,471,false,,,false
check,0,1774670832643,check,445,false,,,false
run,0,1774670874976,run,999,false,,,false
check,0,1774670947064,check,445,false,,,false
check,0,1774670953622,check,423,false,,,false
compile,0,1774670976482,compile,927,false,,,false
emit-ir,0,1774671208766,emit-ir,462,false,,,false
compiler/borrow,0,1774671283738,compiler/borrow,13215,false,,compiler/borrow,false
check,0,1774671358053,check,97,true,,,false
check,0,1774671532022,check,438,false,,,false
check,0,1774671615610,check,447,false,,,false
emit-ir,0,1774671737890,emit-ir,486,false,,,false
check,0,1774671772423,check,431,false,,,false
emit-ir,1,1774671772868,emit-ir,440,false,,,false
emit-mir,2,1774671782120,emit-mir,816,true,,,false
emit-mir,3,1774671798993,emit-mir,954,true,,,false
check,4,1774671831162,check,2173,true,,,false
emit-mir,0,1774672018055,emit-mir,498,false,,,false
check,0,1774672052375,check,425,false,,,false
emit-ir,1,1774672056500,emit-ir,489,false,,,false
emit-mir,2,1774672060825,emit-mir,449,false,,,false
check,3,1774672073660,check,2196,true,,,false
check,4,1774672217923,check,2280,false,,,false
check,5,1774672230464,check,2367,true,,,false
check,6,1774672270190,check,1804,false,,,false
check,7,1774672294493,check,559,false,,,false
check,8,1774672305471,check,538,false,,,false
lib/core/tests/net/ip.test.tml,9,1774672360346,lib/core/tests/net/ip.test.tml,10977,false,,lib/core/tests/net/ip.test.tml,false
lib/core/tests/net/ip.test.tml,10,1774672366911,lib/core/tests/net/ip.test.tml,566,false,,lib/core/tests/net/ip.test.tml,false
lib/core/tests/net/ip.test.tml,11,1774672373249,lib/core/tests/net/ip.test.tml,988,false,,lib/core/tests/net/ip.test.tml,false
core/net,12,1774672383306,core/net,991,false,,core/net,false
std/net,13,1774672784340,std/net,391111,false,,std/net,false
ipv4,14,1774672796326,ipv4,6703,false,,ipv4,false
